"Title:","Assessment by All Students from the National Assessment of Educational Progress (NAEP) Database"
"SubTitle:","Indicator: All students - Measure: Cumulative achievement level ? At or above Basic - ObsFlag: All students"
"Time:","2000 - 2019"
"Unit of Measure:","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%"
"Citation:","National Center for Education Statistics (2021-07-16). Assessment by All Students: Assessment by All Students | 2019 | 2017 | 2015 | 2013 | 2011 | 2009 | 2007 | 2005 | 2003 | 2002 | 2000 | 4th Grade | 8th Grade | Mathematics | Reading | Science | Writing | All students | Cumulative achievement level ? At or above Basic | All students, 2000 - 2019. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  017-024-001 doi:https://doi.org/10.6068/DP17C24D823E56"
"ColumnCount:","51"
"RowCount:","1"

"State","2019 - 4th Grade - Mathematics (%)","2019 - 4th Grade - Reading (%)","2019 - 8th Grade - Mathematics (%)","2019 - 8th Grade - Reading (%)","2017 - 4th Grade - Mathematics (%)","2017 - 4th Grade - Reading (%)","2017 - 8th Grade - Mathematics (%)","2017 - 8th Grade - Reading (%)","2015 - 4th Grade - Mathematics (%)","2015 - 4th Grade - Reading (%)","2015 - 4th Grade - Science (%)","2015 - 8th Grade - Mathematics (%)","2015 - 8th Grade - Reading (%)","2015 - 8th Grade - Science (%)","2013 - 4th Grade - Mathematics (%)","2013 - 4th Grade - Reading (%)","2013 - 8th Grade - Mathematics (%)","2013 - 8th Grade - Reading (%)","2011 - 4th Grade - Mathematics (%)","2011 - 4th Grade - Reading (%)","2011 - 8th Grade - Mathematics (%)","2011 - 8th Grade - Reading (%)","2011 - 8th Grade - Science (%)","2009 - 4th Grade - Mathematics (%)","2009 - 4th Grade - Reading (%)","2009 - 4th Grade - Science (%)","2009 - 8th Grade - Mathematics (%)","2009 - 8th Grade - Reading (%)","2009 - 8th Grade - Science (%)","2007 - 4th Grade - Mathematics (%)","2007 - 4th Grade - Reading (%)","2007 - 8th Grade - Mathematics (%)","2007 - 8th Grade - Reading (%)","2007 - 8th Grade - Writing (%)","2005 - 4th Grade - Mathematics (%)","2005 - 4th Grade - Reading (%)","2005 - 8th Grade - Mathematics (%)","2005 - 8th Grade - Reading (%)","2003 - 4th Grade - Mathematics (%)","2003 - 4th Grade - Reading (%)","2003 - 8th Grade - Mathematics (%)","2003 - 8th Grade - Reading (%)","2002 - 4th Grade - Reading (%)","2002 - 4th Grade - Writing (%)","2002 - 8th Grade - Reading (%)","2002 - 8th Grade - Writing (%)","2000 - 4th Grade - Mathematics (%)","2000 - 8th Grade - Mathematics (%)"
"Arizona",77.49,61.35,67.72,69.59,73.3,61.03,70.61,74.71,78.77,61.74,70.67,72.22,73.9,61.03,81.92,59.79,68.81,71.97,77.35,58.35,68.15,71.17,56.21,70.54,56.33,60.83,67.4,68.33,53.62,73.67,55.88,66.47,64.87,85.31,70.36,52.12,63.92,64.61,70.05,54.25,61.46,66.32,50.6,76.07,68.09,76.97,56.73,59.76



"Publisher:", "National Center for Education Statistics"
"Copyright:", "The data contained in Data Planet(tm): A SAGE Publishing Resource is made available via license agreement with subscribing organizations. Your organization's license may vary from this version."
