"Title:","Confirmed Crime Rate from the Offenses Known to Law Enforcement Database"
"SubTitle:","Counties within State - Crime Type*: All Crimes Reported"
"Time:","1980 - 2019"
"Unit of Measure:","Crimes/100,000 People","Crimes/100,000 People","Crimes/100,000 People","Crimes/100,000 People","Crimes/100,000 People","Crimes/100,000 People","Crimes/100,000 People","Crimes/100,000 People","Crimes/100,000 People","Crimes/100,000 People","Crimes/100,000 People","Crimes/100,000 People","Crimes/100,000 People","Crimes/100,000 People","Crimes/100,000 People"
"Citation:","Criminal Justice Information Services Division, Federal Bureau of Investigation, Federal Bureau of Investigation (2020-10-29). Confirmed Crime Rate: Confirmed Crime Rate | Apache, Cochise, Coconino, Gila, Graham, Greenlee, La Paz, Maricopa, Mohave, Navajo, Pima, Pinal, Santa Cruz, Yavapai, Yuma | All Crimes Reported, 1980 - 2019. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  010-001-004 doi:https://doi.org/10.6068/DP17C24CF1C654"
"ColumnCount:","16"
"RowCount:","40"

"Time","Apache (Crimes/100 -000 People)","Cochise (Crimes/100 -000 People)","Coconino (Crimes/100 -000 People)","Gila (Crimes/100 -000 People)","Graham (Crimes/100 -000 People)","Greenlee (Crimes/100 -000 People)","La Paz (Crimes/100 -000 People)","Maricopa (Crimes/100 -000 People)","Mohave (Crimes/100 -000 People)","Navajo (Crimes/100 -000 People)","Pima (Crimes/100 -000 People)","Pinal (Crimes/100 -000 People)","Santa Cruz (Crimes/100 -000 People)","Yavapai (Crimes/100 -000 People)","Yuma (Crimes/100 -000 People)"
"1980",890.6,3865.1,7519.8,3719.9,3277.2,2852.6,"",9187.2,6432,3464.7,9390,7027,5872.6,3995,7661.6
"1981",961.2,3615.1,8100.2,3587.6,3079.7,2296.9,"",8369.6,6318,3658.7,9357.3,6309.6,5252.5,4198.6,6389.8
"1982",854.7,3650.9,6707.2,2930.3,2941.2,1860.9,"",7802.9,6011,3567.4,8195.8,6824.9,5793.5,4132.3,5242
"1983",900.8,3541.2,6533.9,2967,3015.6,2333.8,6587.6,6887.3,5551.4,3342.8,8333.4,6457.6,5763.8,3937.8,5313.9
"1984",969.3,3769.3,7056.6,2635.8,2348.8,2416.3,4839.8,7029.2,6244.9,3361.2,8211.8,5754.4,6307.7,3563.8,5787.4
"1985",1087.6,4192.7,6176,2739.4,2853.1,2337.4,5193.3,7722.5,6094.7,3367.6,8567.5,6440.4,6384.7,4059.6,5852.3
"1986",942.3,4451.3,6792.1,2703.7,2329,1141.4,4704.2,8533.5,6826.5,3741.4,8727,6768.5,5874.2,4361,5916.8
"1987",895.2,4465.9,6623.2,2821.2,2599.3,1604.3,4389.5,7949.2,6807.9,3693.6,9735.9,6531.1,5458.3,4238,6362.2
"1988",855.8,4145.5,6434.2,2098.6,2635.5,1482.6,5664.4,8176.7,6831.1,3537,10897.7,6552.4,6573.8,4891.5,6162
"1989",792.5,4391.6,6461.4,3388.9,2801.3,1588.9,6384.6,8678.9,7405.7,3862.7,9980.3,5668.2,5876,4565,6205.7
"1990",756.6,4873.8,7034.9,4184.9,2267.1,1511,4948,8580.6,7422.7,3839.9,10610.3,5818.1,4697.4,3761.5,4669.1
"1991",793.5,5039.1,6760.7,4498.9,2388.9,1269.5,1581.6,8169.7,7072.1,4578.8,9345,6255.4,4812.1,3835.8,5138.7
"1992",776.5,3660.6,7062.8,4821.6,2485.7,1015.7,4671.7,7641.8,7116.2,3611.4,9239,6393.8,5802,3591.4,640.7
"1993",1069.3,4635.5,7275.8,4430.8,2604.7,1130.5,5833.6,7938.9,6898.9,3991.7,9833.4,6903.9,6617.8,4551,908.7
"1994",1316.9,3720.5,7713.9,5332.8,2543.2,1266.8,4563.4,8244.3,8058.9,4116.9,10456.1,7441.7,5519.4,5919.2,1424.5
"1995",1380.3,3921.8,7251.8,4906.5,3054.6,1401.1,4180,8716,8010.5,4330.3,10366,7477.2,4246.4,5999.7,1719.1
"1996",1008.7,3623.1,6100.8,3364.2,2368.1,1110.7,1243.7,7780.3,6969.3,3926,8423.8,6740.9,3759.4,5062.2,2339.3
"1997",972.4,4687.1,7384.8,5077.3,2767,723.2,1660.5,7730.6,6440.2,3956.2,8426.4,5459,3506.9,5102,1729.1
"1998",896.5,4859.3,6719,4741.1,2955.3,820.3,3137.4,7180.1,6045.9,3577.9,8321.4,4605,3480.3,4362.8,1481.1
"1999",984.4,4313.9,6204.3,2585.5,2839,1029.1,5174,6351.2,5121.8,3443.9,7722.8,5349.1,2717.1,4900,3161.8
"2000",973.7,4620.6,6660.4,4443.4,2445.6,1017.9,3763.6,6167.4,4936.4,3433.9,7628,4941.1,3499.1,4790.6,3806.9
"2001",1031.8,4139.2,6848.8,4280.4,2421.9,1040.6,4104.1,6183.1,5221.6,3403.9,8131.8,4792.2,2911.6,4649.8,3421.6
