"Title:","House Price Index - All Transactions from the House Price Index Database"
"SubTitle:","Core-Based Statistical Area (MSA) - Seasonally Adjusted: Non-Seasonally Adj"
"Time:","1977/2 - 2021/1"
"Unit of Measure:","Index","Index","Index","Index","Index","Index","Index"
"Citation:","Federal Housing Finance Agency (2021-08-29). House Price Index - All Transactions: House Price Index - All Transactions | Flagstaff, AZ Metropolitan Statistical Area, Lake Havasu City-Kingman, AZ Metropolitan Statistical Area, Phoenix-Mesa-Chandler, AZ Metropolitan Statistical Area, Prescott Valley-Prescott, AZ Metropolitan Statistical Area, Sierra Vista-Douglas, AZ Metropolitan Statistical Area, Tucson, AZ Metropolitan Statistical Area, Yuma, AZ Metropolitan Statistical Area | Non-Seasonally Adj, 1977/2 - 2021/1. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  057-001-001 doi:https://doi.org/10.6068/DP17C24FA16731"
"ColumnCount:","8"
"RowCount:","176"

"Time","Flagstaff - AZ Metropolitan Statistical Area (Index)","Lake Havasu City-Kingman - AZ Metropolitan Statistical Area (Index)","Phoenix-Mesa-Chandler - AZ Metropolitan Statistical Area (Index)","Prescott Valley-Prescott - AZ Metropolitan Statistical Area (Index)","Sierra Vista-Douglas - AZ Metropolitan Statistical Area (Index)","Tucson - AZ Metropolitan Statistical Area (Index)","Yuma - AZ Metropolitan Statistical Area (Index)"
"1977/2","","",42.8,"","",36.62,""
"1977/3","","",43.84,"","",37.38,""
"1977/4","","",46.18,"","",39.25,""
"1978/1","","",47.64,"","",40.38,""
"1978/2","","",49.35,"","",41.6,""
"1978/3","","",52.48,"","",45.72,""
"1978/4","","",56.08,"","",47.3,""
"1979/1","","",58.07,"","",51.22,""
"1979/2","","",60.41,"","",57.05,""
"1979/3","","",64.06,"","",55.65,""
"1979/4","","",65.91,"","",58.36,""
"1980/1","","",65.34,"","",60.61,""
"1980/2","","",66.34,"","",55.66,""
"1980/3","","",70.71,"","",63.8,""
"1980/4","","",71.16,"","",63.49,""
"1981/1","","",73.35,"","",62.77,""
"1981/2","","",74.14,"","",69.4,""
"1981/3","","",77.96,"","",68.75,""
"1981/4","","",74.26,"","",61.42,""
"1982/1","","",71.38,"","",56.54,""
"1982/2","","",73.6,"","",62.57,""
"1982/3","","",68.26,"","",64.42,""
"1982/4","","",74.61,"","",52.87,""
"1983/1","","",79.69,"","",68.72,""
"1983/2","","",80.58,"","",64.79,""
"1983/3","","",77.5,"","",64.66,""
"1983/4","","",76.44,"","",65.75,""
"1984/1","","",78.85,"","",64.64,""
"1984/2","","",83.03,"","",64.65,""
"1984/3","","",84.13,"","",67.59,""
"1984/4","","",82.44,"","",70.06,""
"1985/1","","",84.54,"","",70.98,""
"1985/2","","",85.6,"","",69.37,""
"1985/3","","",86.24,"","",71.79,""
"1985/4","","",87,"","",73.32,""
"1986/1","","",89,"","",73.29,""
"1986/2","","",91.62,"","",74.92,""
"1986/3",69.07,75.31,91.89,"","",75.96,""
"1986/4",64.33,78.53,89.7,"","",75.58,""
"1987/1",69.77,75.37,93.06,69.12,"",77.66,""
"1987/2",68.68,79.52,92.26,67.33,"",76.85,""
"1987/3",70.32,79.6,91.77,68.04,"",77.28,""
"1987/4",70.23,78.3,90.21,65.7,"",76.34,""
"1988/1",69.59,73.73,91.62,66.64,"",77.59,""
"1988/2",68.5,80.27,91.89,68.14,"",78.71,""
"1988/3",70.37,77.9,90.63,69.42,"",77.97,83.5
"1988/4",69.25,80.01,90.95,68.95,"",78.61,80.19
"1989/1",69.39,80.12,89.68,71.26,"",77.43,86.95
"1989/2",70.57,84.11,89.09,71.51,"",78.34,83.86
"1989/3",71.68,85.51,90.11,73.91,"",79.67,85.9
"1989/4",69.68,86.37,89.65,74.51,"",79.59,87.37
"1990/1",73.61,91.14,88.75,74.68,"",78.67,87.49
"1990/2",71.36,93.36,87.65,75.34,"",78.68,85.9
"1990/3",74.44,97.02,87.28,76.9,"",80.24,89.08
"1990/4",73.36,99.65,86.06,77.38,"",79.26,89.94
"1991/1",76.56,101.6,87.3,79.76,"",80.3,85.49
"1991/2",77.67,104.49,87.74,78.86,"",81.22,91.25
"1991/3",76.1,103.49,87.53,79.83,"",81.44,91.01
"1991/4",78.36,106.95,90.3,81.9,"",82.96,94.2
"1992/1",78.47,108.84,90.46,84.14,"",83.44,93.05
"1992/2",80.1,107.62,90.17,83.43,87.82,84.23,93.19
"1992/3",79.83,107.32,91.03,84.45,89.89,84.84,94.39
"1992/4",81.66,106.41,91.52,85.46,91.49,85.5,96
"1993/1",81.49,106.12,91.25,86.72,94.38,86.14,96.99
"1993/2",85.1,108.21,92.3,87.4,98.38,87.42,95.87
"1993/3",87.05,108.03,92.89,89.53,97.14,88.29,95.73
"1993/4",86.44,108.35,94.03,91.61,97.41,90.29,98.9
"1994/1",88.31,106.8,94.99,93.58,98.37,92.84,98.25
"1994/2",91.75,104.31,95.97,94.87,99.74,95.82,97.36
"1994/3",93.56,101.26,97.52,96.78,99.39,97.84,98.77
"1994/4",95.49,102.03,98.94,97.99,100.43,98.2,96.75
"1995/1",100,100,100,100,100,100,100
"1995/2",101.01,102.2,101.82,101.98,105.35,101.33,102.63
"1995/3",103.35,104.92,103.93,104.26,105.66,102.65,102.51
"1995/4",107.03,105.65,105.16,105.69,105,104.19,105.72
"1996/1",108.03,105.77,107.19,107.02,107.42,105.17,103.93
"1996/2",109.21,103.9,107.69,106.17,104.21,105.27,105.67
"1996/3",109.03,103.44,109.07,105.9,103.89,105.36,104.48
"1996/4",109.83,104.43,110.14,106.61,108.57,105.78,104.57
"1997/1",112.58,104.32,111.57,107.49,104.33,107,102.61
"1997/2",111.01,102.55,112.52,107.57,106.25,106.36,105.23
"1997/3",111.62,105.22,114.45,108.76,109.06,108.29,106.13
"1997/4",114.22,105.91,116.42,110.5,107.59,109.67,108.79
"1998/1",114.82,107.94,118.16,112.75,111.62,110.59,110.38
"1998/2",115.94,107.25,119.45,113.67,109.74,111.25,109.52
"1998/3",115.59,109.48,121.28,114.06,112.97,112.41,110.81
"1998/4",118.22,109.32,122.75,114.51,113.53,113.49,112.16
"1999/1",116.83,107.78,124.43,115.64,111.9,114.38,111.39
"1999/2",117.59,106.35,126.67,115.29,111.18,115.27,111.05
"1999/3",118.2,106.52,128.94,116.69,112.4,116.03,112.05
"1999/4",118.65,105.13,130.45,118.24,110.52,116.99,113.26
"2000/1",122.3,107.2,133.85,120.22,113.74,119.11,111.53
"2000/2",121.95,109.92,135.37,120.69,113.29,120.14,115.12
"2000/3",123.14,111.19,137.28,122.93,115.41,121.57,115.25
"2000/4",125.21,113.31,139.34,124.54,117.26,123.18,116.54
