"Title:","Residential Sector from the Electric Energy Average Price/Revenue/Sales Database"
"SubTitle:","State: Arizona - Energy Finance Metric: Average Price"
"Time:","01/1990 - 06/2021"
"Unit of Measure:","cents/Kilowatt-Hour"
"Citation:","Energy Information Administration (2021-09-20). Residential Sector: Residential Sector | Arizona | Average Price, 01/1990 - 06/2021. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  004-003-003 doi:https://doi.org/10.6068/DP17C24DA56887"
"ColumnCount:","2"
"RowCount:","377"

"Time","State: Arizona"
"01/1990",7.83
"02/1990",7.85
"03/1990",8.18
"04/1990",8.97
"05/1990",9.37
"06/1990",9.84
"07/1990",9.77
"08/1990",9.63
"09/1990",9.51
"10/1990",9.6
"11/1990",8.88
"12/1990",8.43
"01/1991",7.68
"02/1991",8.31
"03/1991",8.63
"04/1991",9.01
"05/1991",9.73
"06/1991",9.77
"07/1991",9.81
"08/1991",9.68
"09/1991",9.71
"10/1991",9.61
"11/1991",8.97
"12/1991",8.44
"01/1992",8.33
"02/1992",8.83
"03/1992",9.02
"04/1992",9.52
"05/1992",9.67
"06/1992",10.19
"07/1992",10.12
"08/1992",10.13
"09/1992",10.25
"10/1992",10.18
"11/1992",9.45
"12/1992",8.64
"01/1993",8.57
"02/1993",8.85
"03/1993",9.08
"04/1993",9.36
"05/1993",9.9
"06/1993",10.26
"07/1993",10.2
"08/1993",10.2
"09/1993",10.31
"10/1993",10.25
"11/1993",9.13
"12/1993",8.65
"01/1994",8.13
"02/1994",8.34
"03/1994",8.92
"04/1994",9.15
"05/1994",9.8
"06/1994",10.04
"07/1994",9.95
"08/1994",9.78
"09/1994",9.77
"10/1994",9.79
"11/1994",9.05
"12/1994",7.96
"01/1995",8.07
"02/1995",8.52
"03/1995",8.8
"04/1995",8.82
"05/1995",9.38
"06/1995",9.66
"07/1995",9.55
"08/1995",9.48
"09/1995",9.44
"10/1995",9.47
"11/1995",8.57
"12/1995",8.34
"01/1996",7.98
"02/1996",8.45
"03/1996",8.46
"04/1996",8.96
"05/1996",9.23
"06/1996",9.4
"07/1996",9.31
"08/1996",9.28
"09/1996",9.28
"10/1996",9.34
"11/1996",8.73
"12/1996",8.09
"01/1997",7.83
"02/1997",7.92
"03/1997",8.25
"04/1997",8.64
"05/1997",9.22
"06/1997",9.37
"07/1997",9.27
"08/1997",9.25
"09/1997",9.16
"10/1997",9.3
"11/1997",8.57
"12/1997",8
"01/1998",7.56
"02/1998",7.74
"03/1998",7.88
"04/1998",8.52
"05/1998",9.42
"06/1998",9.38
"07/1998",9.1
"08/1998",9.24
"09/1998",9.13
"10/1998",9.14
"11/1998",8.27
"12/1998",7.84
"01/1999",7.11
"02/1999",7.21
"03/1999",7.71
"04/1999",7.81
"05/1999",8.81
"06/1999",8.71
"07/1999",8.31
"08/1999",8.41
"09/1999",8.41
"10/1999",8.51
"11/1999",7.51
"12/1999",13.52
"01/2000",7.43
"02/2000",8
"03/2000",7.9
"04/2000",8.17
"05/2000",9.04
"06/2000",9.09
"07/2000",8.9
"08/2000",8.84
"09/2000",8.85
"10/2000",9.03
"11/2000",7.31
"12/2000",7.24
"01/2001",6.99
"02/2001",7.13
"03/2001",7.4
"04/2001",8.09
"05/2001",9.41
"06/2001",9.04
"07/2001",8.84
"08/2001",8.84
"09/2001",8.81
"10/2001",8.95
"11/2001",7.17
"12/2001",7.26
"01/2002",7.01
"02/2002",7.17
"03/2002",7.46
"04/2002",7.69
"05/2002",9.37
"06/2002",8.97
"07/2002",8.65
"08/2002",8.78
"09/2002",8.79
"10/2002",8.99
"11/2002",7.37
"12/2002",7.46
"01/2003",7.06
"02/2003",7.57
"03/2003",7.59
"04/2003",7.82
"05/2003",9.52
"06/2003",9.09
"07/2003",8.78
"08/2003",8.74
"09/2003",8.7
"10/2003",8.83
"11/2003",7.21
"12/2003",7.55
"01/2004",7.27
"02/2004",7.49
"03/2004",7.61
"04/2004",8.05
"05/2004",9.26
"06/2004",9.1
"07/2004",8.88
"08/2004",8.87
"09/2004",8.96
"10/2004",8.79
"11/2004",8.05
"12/2004",7.86
"01/2005",7.75
"02/2005",7.99
"03/2005",8.19
"04/2005",8.67
"05/2005",9.6
"06/2005",9.41
"07/2005",9.3
"08/2005",9.28
"09/2005",9.3
"10/2005",9.23
"11/2005",8.12
"12/2005",7.88
"01/2006",8.05
"02/2006",8.21
"03/2006",8.38
"04/2006",8.92
"05/2006",10.19
"06/2006",10.05
"07/2006",9.9
"08/2006",9.88
"09/2006",9.89
"10/2006",9.88
"11/2006",8.74
"12/2006",8.56
"01/2007",8.33
"02/2007",8.46
"03/2007",8.8
"04/2007",9.19
"05/2007",10.2
"06/2007",9.96
"07/2007",10.37
"08/2007",10.33
"09/2007",10.17
"10/2007",10.16
"11/2007",9.08
"12/2007",8.89
"01/2008",8.85
"02/2008",9.02
"03/2008",9.38
"04/2008",10.02
"05/2008",11.03
"06/2008",11.06
"07/2008",10.95
"08/2008",10.87
"09/2008",10.63
"10/2008",10.46
"11/2008",9.55
"12/2008",9.61
"01/2009",9.51
"02/2009",9.82
"03/2009",9.93
"04/2009",10.65
"05/2009",11.33
"06/2009",11.27
"07/2009",11.3
"08/2009",11.29
"09/2009",11.17
"10/2009",10.97
"11/2009",9.86
"12/2009",9.7
"01/2010",9.57
"02/2010",9.84
"03/2010",9.98
"04/2010",10.24
"05/2010",11.75
"06/2010",11.74
"07/2010",11.78
"08/2010",11.59
"09/2010",11.52
"10/2010",10.96
"11/2010",10.14
"12/2010",10
"01/2011",9.84
"02/2011",9.93
"03/2011",10.25
"04/2011",10.97
"05/2011",11.77
"06/2011",11.77
"07/2011",11.85
"08/2011",11.67
"09/2011",11.53
"10/2011",11.08
"11/2011",10.31
"12/2011",9.98
"01/2012",9.97
"02/2012",10.21
"03/2012",10.39
"04/2012",11.12
"05/2012",11.84
"06/2012",11.87
"07/2012",11.85
"08/2012",11.82
"09/2012",11.67
"10/2012",11.35
"11/2012",10.7
"12/2012",10.36
"01/2013",10.25
"02/2013",10.7
"03/2013",10.87
"04/2013",11.74
"05/2013",12.19
"06/2013",12.18
"07/2013",12.51
"08/2013",12.22
"09/2013",12.02
"10/2013",11.06
"11/2013",11.01
"12/2013",10.92
"01/2014",11.23
"02/2014",11.23
"03/2014",11.97
"04/2014",12.59
"05/2014",12.43
