date,sierra_vista,total_arrests,crime_rate,population_estimates,poverty_percentage,state_tax
2000,68015.53393,6459,4620.6,118028,16,23541000
2001,71717.45333,6279,4139.2,118573,17,25676000
2002,72247.26698,6086,4096.4,119750,16,25676000
2003,73101.47011,7418,5074.5,121175,16,24779000
2004,75638.43242,7273,4769,123235,17,24779000
2005,85580.21543,7354,4557.3,125637,16,31581000
2006,105008.428,5674,4481.9,126751,18,33697000
2007,119922.9183,6807,4687.5,127736,16.3,29457000
2008,117384.7189,6298,3944.4,128425,16,28007000
2009,107083.3333,6957,3840.2,129518,16.2,29457000
2010,99520,7273,3617.9,131822,17.7,31764000
2011,93282.66667,6279,3639.5,133097,19.6,33103000
2012,98033,6459,7595.1,132017,18.8,33362000
2013,110836.0833,7354,2730.1,129578,18.8,32969000
2014,119750.6667,6459,4639.1,127314,18.7,28490000
2015,127426.75,7354,4845.8,126454,16.9,30246000
2016,132313.5833,7354,5580.5,125686,21.1,30988000
2017,137397.8333,6086,6033.5,124864,16.1,33384000
2018,143153,6957,3904.6,126411,21.1,36098000
2019,153527.5833,6459,4439.5,125922,16.6,28007000
2020,165459.5,6807,3639.5,125922,16,33697000
2021,185721.6667,6807,3617.9,127736,18.8,30988000
