Time,energy_price_ave,health_care_spending,mean_annual_wage,median_annual_wage,overall_homeless
2000,8.316666667,16646000000,,,
2001,8.160833333,18129000000,,,
2002,8.1425,20390000000,,,
2003,8.205,22464000000,,,
2004,8.349166667,24795000000,,,
2005,8.726666667,28190000000,,,
2006,9.220833333,30766000000,,,
2007,9.495,33366000000,,,
2008,10.11916667,35547000000,,,
2009,10.56666667,37258000000,,,
2010,10.75916667,38620000000,,,
2011,10.9125,39295000000,43670,34110,2283
2012,11.09583333,40495000000,,,1895
2013,11.4725,41481000000,44370,34170,1188
2014,11.9425,43356000000,44580,34230,959
2015,12.0275,,45310,34680,1366
2016,12.09166667,,46290,35470,1395
2017,12.39416667,,48160,36270,1552
2018,12.77083333,,49290,37020,1774
2019,12.52083333,,50930,38410,1876
2020,12.32416667,,,,
2021,12.506,,,,
