date,phoenix_hmi,total_arrests,crime_rate,population_estimates,poverty_percentage,state_tax
2000,146483.75,155480,6167.4,3097378,10,384937000
2001,154749.5833,149496,6183.1,3200075,11,528421000
2002,162163.3333,156126,6402.9,3299127,11,442961000
2003,170639,158182,5867.1,3391391,12,475144000
2004,185578.3333,160559,5507.9,3502635,13,528421000
2005,245141.3333,147950,5080.8,3647131,12,554877000
2006,300741.0833,160996,5098.1,3776118,12.5,604492000
2007,284101.9167,174332,5079.7,3872962,12.9,554877000
2008,230373.6667,184138,5004.7,3958263,13,510299000
2009,171340.0833,187775,4457.8,4023132,15.1,564781000
2010,154267.9167,156126,4510.1,3825110,16.6,605041000
2011,136349.75,160559,4604.4,3874996,17.4,598626000
2012,151037.9167,156126,8829.8,3947505,17.4,581109000
2013,183996.5833,160996,8454.8,4017723,17.6,512762000
2014,200673.9167,187775,7992.8,4093648,17.1,475814000
2015,211519.25,155480,7742.3,4172905,16.3,513252000
2016,226242.5,156126,8064.9,4256143,15,549496000
2017,240555.75,149496,8253.8,4327184,13.5,592884000
2018,258600.4167,158182,7861.1,4402403,15.1,627439000
2019,274341.5833,174332,7285.6,4485414,12.2,384937000
2020,302379.4167,158182,6402.9,3825110,10,598626000
2021,369959.7778,156126,5867.1,3874996,17.4,604492000
